Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/RC,Player,Team
4,4,04/15/2023,2nd,5,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,c M P Stoinis b Ravi Bishnoi,57,41,139.02,79,19.75,127.42,Sikandar Raza,PBKS
5,5,04/28/2023,2nd,4,Lucknow Super Giants,Punjab Cricket Association IS Bindra Stadium,c K H Pandya b Y Thakur,36,22,163.64,115,23.0,136.9,Sikandar Raza,PBKS
6,6,04/30/2023,2nd,8,Chennai Super Kings,MA Chidambaram Stadium,not out,13*,7,185.71,128,25.6,140.66,Sikandar Raza,PBKS
7,7,05/13/2023,1st,8,Delhi Capitals,Arun Jaitley Stadium,not out,11*,7,157.14,139,27.8,141.84,Sikandar Raza,PBKS
1 (k),1,04/14/2013,2nd,6,Punjab Kings,Sawai Mansingh Stadium,not out,27*,23,117.39,27,23.195,117.39,Sanju samson,RR
2 (k),2,04/29/2013,2nd,3,Royal Challengers Bangalore,Sawai Mansingh Stadium,c M Kartik b R Rampaul,63,41,153.66,90,90.0,140.63,Sanju samson,RR
3,3,03/05/2013,1st,4,Kolkata Knight Riders,Eden Gardens,c J H Kallis b R Bhatia,40,36,111.11,130,65.0,130,Sanju samson,RR
4 (k),4,05/05/2013,2nd,6,Pune Warriors,Sawai Mansingh Stadium,c U A Birla b W D Parnell,10,6,166.67,140,46.67,132.08,Sanju samson,RR
5 (k),37,07/05/2013,2nd,-,Delhi Capitals,Sawai Mansingh Stadium,did not bat,-,-,0,140,46.67,132.08,Sanju samson,RR
6,5,09/05/2013,2nd,4,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,not out,47*,33,142.42,187,62.33,134.53,Sanju samson,RR
7,6,12/05/2013,2nd,4,Chennai Super Kings,Sawai Mansingh Stadium,c †M S Dhoni b M M Sharma,0,5,0,187,46.75,129.86,Sanju samson,RR
8,7,05/15/2013,2nd,4,Mumbai Indians,Wankhede Stadium,c P P Ojha b M G Johnson,4,4,100,191,38.2,129.05,Sanju samson,RR
9 (k),8,05/17/2013,2nd,4,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c D W Steyn b A Mishra,5,7,71.43,196,32.67,126.45,Sanju samson,RR
10,9,05/22/2013,2nd,6,Sunrisers Hyderabad,Arun Jaitley Stadium,lbw b D W Steyn,10,21,47.62,206,29.43,117.05,Sanju samson,RR
11,10,05/24/2013,1st,4,Mumbai Indians,Eden Gardens,c Harbhajan Singh b S L Malinga,0,2,0,206,25.75,115.73,Sanju samson,RR
12 (k),11,04/18/2014,2nd,3,Sunrisers Hyderabad,Sheikh Zayed Stadium,c S Dhawan b B Kumar,3,9,33.33,209,23.22,111.76,Sanju samson,RR
13 (k),12,04/20/2014,1st,3,Punjab Kings,Sharjah Cricket Stadium,b P Awana,52,34,152.94,261,26.1,118.1,Sanju samson,RR
14 (k),13,04/23/2014,2nd,3,Chennai Super Kings,Dubai International Cricket Stadium,c & b R A Jadeja,16,16,100,277,25.18,116.88,Sanju samson,RR
15 (k),14,04/26/2014,2nd,3,Royal Challengers Bangalore,Sheikh Zayed Stadium,run out,2,6,33.33,279,23.25,114.81,Sanju samson,RR
16 (k),15,04/29/2014,1st,3,Kolkata Knight Riders,Sheikh Zayed Stadium,b Shakib Al Hasan,20,19,105.26,299,23.0,114.12,Sanju samson,RR
17 (k),16,03/05/2014,2nd,3,Delhi Capitals,Arun Jaitley Stadium,st K D Karthik b S Nadeem,34,28,121.43,333,23.79,114.83,Sanju samson,RR
18 (k),17,05/05/2014,1st,3,Kolkata Knight Riders,Narendra Modi Stadium,c M K Pandey b S P Narine,37,31,119.35,370,24.67,115.26,Sanju samson,RR
19 (k),18,08/05/2014,2nd,3,Sunrisers Hyderabad,Narendra Modi Stadium,b K V Sharma,16,16,100,386,24.13,114.54,Sanju samson,RR
20 (k),19,11/05/2014,2nd,5,Royal Challengers Bangalore,M Chinnaswamy Stadium,c & b Yuvraj Singh,13,8,162.5,399,23.47,115.65,Sanju samson,RR
21 (k),20,05/15/2014,1st,4,Delhi Capitals,Narendra Modi Stadium,c K M Jadhav b Imran Tahir,40,25,160,439,24.39,118.65,Sanju samson,RR
22 (k),21,05/19/2014,2nd,4,Mumbai Indians,Narendra Modi Stadium,c A T Rayudu b K Santokie,2,5,40,441,23.21,117.6,Sanju samson,RR
23 (k),22,05/23/2014,2nd,3,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,st W P Saha b Karanveer Singh,30,29,103.45,471,23.55,116.58,Sanju samson,RR
24 (k),23,05/25/2014,1st,2,Mumbai Indians,Wankhede Stadium,c Harbhajan Singh b S Gopal,74,47,157.45,545,25.95,120.84,Sanju samson,RR
25 (k),24,10/04/2015,1st,2,Punjab Kings,Maharashtra Cricket Association Stadium,lbw b Sandeep Sharma,5,6,83.33,550,25.0,120.35,Sanju samson,RR
26 (k),25,12/04/2015,2nd,2,Delhi Capitals,Arun Jaitley Stadium,c Yuvraj Singh b A D Mathews,11,12,91.67,561,24.39,119.62,Sanju samson,RR
27 (k),26,04/14/2015,2nd,2,Mumbai Indians,Narendra Modi Stadium,c R G Sharma b R Vinay Kumar,17,16,106.25,578,24.08,119.18,Sanju samson,RR
28 (k),27,04/16/2015,2nd,2,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,c †N V Ojha b R S Bopara,26,30,86.67,604,24.16,117.28,Sanju samson,RR
29 (k),37,04/19/2015,2nd,-,Chennai Super Kings,Narendra Modi Stadium,did not bat,-,-,0,604,24.16,117.28,Sanju samson,RR
30 (k),28,04/21/2015,1st,8,Punjab Kings,Narendra Modi Stadium,not out,5*,2,250,609,24.36,117.79,Sanju samson,RR
31 (k),29,04/24/2015,1st,6,Royal Challengers Bangalore,Narendra Modi Stadium,b Y S Chahal,4,7,57.14,613,23.58,116.98,Sanju samson,RR
32 (k),37,04/29/2015,2nd,-,Royal Challengers Bangalore,M Chinnaswamy Stadium,did not bat,-,-,0,613,23.58,116.98,Sanju samson,RR
33 (k),30,01/05/2015,2nd,3,Mumbai Indians,Wankhede Stadium,c J Suchith b M J McClenaghan,76,46,165.22,689,25.52,120.88,Sanju samson,RR
34 (k),37,03/05/2015,1st,-,Delhi Capitals,Brabourne Stadium,did not bat,-,-,0,689,25.52,120.88,Sanju samson,RR
35 (k),31,07/05/2015,2nd,7,Sunrisers Hyderabad,Brabourne Stadium,b B Kumar,21,10,210,710,25.36,122.41,Sanju samson,RR
36 (k),32,10/05/2015,2nd,6,Chennai Super Kings,MA Chidambaram Stadium,c D R Smith b D J J Bravo,26,17,152.94,736,25.38,123.28,Sanju samson,RR
37 (k),33,05/16/2015,1st,4,Kolkata Knight Riders,Brabourne Stadium,c G Gambhir b A D Russell,8,9,88.89,744,24.8,122.77,Sanju samson,RR
38 (k),34,05/20/2015,2nd,3,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,c †K D Karthik b H V Patel,5,8,62.5,749,24.16,121.99,Sanju samson,RR
39,35,10/04/2016,1st,5,Kolkata Knight Riders,Eden Gardens,c †R V Uthappa b G B Hogg,15,13,115.38,764,23.88,121.85,Sanju samson,RR
40,36,04/15/2016,2nd,3,Punjab Kings,Arun Jaitley Stadium,b A R Patel,33,32,103.13,797,24.15,120.94,Sanju samson,RR
41,37,04/17/2016,2nd,3,Royal Challengers Bangalore,M Chinnaswamy Stadium,c Y S Chahal b S R Watson,9,14,64.29,806,23.71,119.76,Sanju samson,RR
42,38,04/23/2016,1st,3,Mumbai Indians,Arun Jaitley Stadium,c T G Southee b M J McClenaghan,60,48,125,866,24.74,120.11,Sanju samson,RR
43,39,04/27/2016,2nd,2,Gujarat Lions,Arun Jaitley Stadium,c J P Faulkner b D S Kulkarni,1,6,16.67,867,24.08,119.26,Sanju samson,RR
44,40,04/30/2016,1st,3,Kolkata Knight Riders,Arun Jaitley Stadium,lbw b S P Narine,15,15,100,882,23.84,118.87,Sanju samson,RR
45,41,03/05/2016,2nd,3,Gujarat Lions,Saurashtra Cricket Association Stadium,not out,19*,13,146.15,901,24.35,119.34,Sanju samson,RR
46 (k),42,05/05/2016,1st,2,Rising Pune Supergiant,Arun Jaitley Stadium,c R Ashwin b S M Boland,20,17,117.65,921,24.24,119.3,Sanju samson,RR
47,43,07/05/2016,2nd,2,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,c G J Maxwell b M P Stoinis,49,35,140,970,24.87,120.2,Sanju samson,RR
48,44,12/05/2016,2nd,4,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,34*,26,130.77,1004,25.74,120.53,Sanju samson,RR
49,45,05/15/2016,2nd,4,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,run out,6,11,54.55,1010,25.25,119.67,Sanju samson,RR
50,46,05/17/2016,1st,4,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,st M S Dhoni b A Zampa,10,13,76.92,1020,24.88,119.02,Sanju samson,RR
51,47,05/20/2016,2nd,6,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,not out,3*,4,75,1023,24.95,118.82,Sanju samson,RR
52,48,05/22/2016,1st,4,Royal Challengers Bangalore,Shaheed Veer Narayan Sing International Stadium,c †K L Rahul b Y S Chahal,17,12,141.67,1040,24.76,119.13,Sanju samson,RR
53,49,08/04/2017,2nd,4,Royal Challengers Bangalore,M Chinnaswamy Stadium,c S T R Binny b B Stanlake,13,12,108.33,1053,24.49,118.98,Sanju samson,RR
54,50,11/04/2017,1st,3,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,b A Zampa,102,63,161.9,1155,26.25,121.84,Sanju samson,RR
55,51,04/15/2017,1st,1,Punjab Kings,Arun Jaitley Stadium,c E J G Morgan b K C Cariappa,19,18,105.56,1174,26.09,121.53,Sanju samson,RR
56,52,04/17/2017,1st,1,Kolkata Knight Riders,Arun Jaitley Stadium,c †R V Uthappa b U T Yadav,39,25,156,1213,26.37,122.4,Sanju samson,RR
57,53,04/19/2017,2nd,1,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c M C Henriques b Mohammed Siraj,42,33,127.27,1255,26.7,122.56,Sanju samson,RR
58,54,04/22/2017,2nd,1,Mumbai Indians,Wankhede Stadium,c R G Sharma b M J McClenaghan,9,6,150,1264,26.33,122.72,Sanju samson,RR
59,55,04/28/2017,1st,1,Kolkata Knight Riders,Eden Gardens,lbw b U T Yadav,60,38,157.89,1324,27.02,123.97,Sanju samson,RR
60,56,04/30/2017,1st,1,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,c M M Sharma b Sandeep Sharma,5,14,35.71,1329,26.58,122.83,Sanju samson,RR
61,57,02/05/2017,2nd,1,Sunrisers Hyderabad,Arun Jaitley Stadium,c S Dhawan b Mohammed Siraj,24,19,126.32,1353,26.53,122.89,Sanju samson,RR
62,58,04/05/2017,2nd,1,Gujarat Lions,Arun Jaitley Stadium,c J P Faulkner b R A Jadeja,61,31,196.77,1414,27.19,124.91,Sanju samson,RR
63,59,06/05/2017,2nd,1,Mumbai Indians,Barabati Stadium,c L M P Simmons b M J McClenaghan,0,1,0,1414,26.68,124.8,Sanju samson,RR
64,60,10/05/2017,2nd,1,Gujarat Lions,Green Park,b P J Sangwan,10,7,142.86,1424,26.37,124.91,Sanju samson,RR
65,61,12/05/2017,1st,1,Rising Pune Supergiant,Arun Jaitley Stadium,run out,2,4,50,1426,25.93,124.65,Sanju samson,RR
66,62,05/14/2017,2nd,1,Royal Challengers Bangalore,Arun Jaitley Stadium,c V Kohli b Avesh Khan,0,2,0,1426,25.46,124.43,Sanju samson,RR
67,63,09/04/2018,1st,3,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c Rashid Khan b Shakib Al Hasan,49,42,116.67,1475,25.88,124.16,Sanju samson,RR
68,64,11/04/2018,1st,4,Delhi Capitals,Sawai Mansingh Stadium,b S Nadeem,37,22,168.18,1512,26.07,124.96,Sanju samson,RR
69,65,04/15/2018,1st,3,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,92*,45,204.44,1604,27.66,127.81,Sanju samson,RR
70,66,04/18/2018,1st,3,Kolkata Knight Riders,Sawai Mansingh Stadium,c Kuldeep Yadav b Shivam Mavi,7,8,87.5,1611,27.31,127.55,Sanju samson,RR
71,67,04/20/2018,2nd,3,Chennai Super Kings,Maharashtra Cricket Association Stadium,c K V Sharma b D L Chahar,2,3,66.67,1613,26.88,127.41,Sanju samson,RR
72,68,04/22/2018,2nd,3,Mumbai Indians,Sawai Mansingh Stadium,c H H Pandya b J J Bumrah,52,39,133.33,1665,27.3,127.59,Sanju samson,RR
73,69,04/29/2018,2nd,3,Sunrisers Hyderabad,Sawai Mansingh Stadium,c A D Hales b S Kaul,40,30,133.33,1705,27.5,127.72,Sanju samson,RR
74,70,02/05/2018,2nd,3,Delhi Capitals,Arun Jaitley Stadium,c C Munro b T A Boult,3,5,60,1708,27.11,127.46,Sanju samson,RR
75,71,06/05/2018,1st,4,Punjab Kings,Holkar Cricket Stadium,c K K Nair b A J Tye,28,23,121.74,1736,27.13,127.37,Sanju samson,RR
76,72,08/05/2018,1st,4,Punjab Kings,Sawai Mansingh Stadium,c M K Tiwary b Mujeeb Ur Rahman,22,18,122.22,1758,27.05,127.3,Sanju samson,RR
77,73,11/05/2018,2nd,4,Chennai Super Kings,Sawai Mansingh Stadium,run out,21,22,95.45,1779,26.95,126.8,Sanju samson,RR
78,74,05/13/2018,2nd,4,Mumbai Indians,Wankhede Stadium,c sub b H H Pandya,26,14,185.71,1805,26.94,127.38,Sanju samson,RR
79,75,05/15/2018,1st,4,Kolkata Knight Riders,Eden Gardens,lbw b S P Narine,12,10,120,1817,26.72,127.33,Sanju samson,RR
80,76,05/19/2018,1st,4,Royal Challengers Bangalore,Sawai Mansingh Stadium,c M M Ali b U T Yadav,0,1,0,1817,26.33,127.24,Sanju samson,RR
81,77,05/23/2018,2nd,3,Kolkata Knight Riders,Eden Gardens,c J P R Scantlebury-Searles b P P Chawla,50,38,131.58,1867,26.67,127.35,Sanju samson,RR
82,78,03/25/2019,2nd,3,Punjab Kings,Sawai Mansingh Stadium,c R Ashwin b S M Curran,30,25,120,1897,26.72,127.23,Sanju samson,RR
83,79,03/29/2019,1st,3,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,102*,55,185.45,1999,28.15,129.3,Sanju samson,RR
84,80,03/31/2019,2nd,3,Chennai Super Kings,MA Chidambaram Stadium,c S K Raina b D L Chahar,8,10,80,2007,27.88,128.98,Sanju samson,RR
85,81,11/04/2019,1st,3,Chennai Super Kings,Sawai Mansingh Stadium,c sub b M J Santner,6,6,100,2013,27.58,128.87,Sanju samson,RR
86 (k),82,04/13/2019,2nd,3,Mumbai Indians,Wankhede Stadium,lbw b J J Bumrah,31,26,119.23,2044,27.62,128.72,Sanju samson,RR
87 (k),83,04/16/2019,2nd,3,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,b R Ashwin,27,21,128.57,2071,27.61,128.71,Sanju samson,RR
88 (k),84,04/20/2019,2nd,2,Mumbai Indians,Sawai Mansingh Stadium,c K A Pollard b R D Chahar,35,19,184.21,2106,27.71,129.36,Sanju samson,RR
89 (k),85,04/22/2019,1st,2,Delhi Capitals,Sawai Mansingh Stadium,run out,0,0,0,2106,27.35,129.36,Sanju samson,RR
90 (k),86,04/25/2019,2nd,2,Kolkata Knight Riders,Eden Gardens,b P P Chawla,22,15,146.67,2128,27.28,129.52,Sanju samson,RR
91 (k),87,04/27/2019,2nd,3,Sunrisers Hyderabad,Sawai Mansingh Stadium,not out,48*,32,150,2176,27.9,129.91,Sanju samson,RR
92 (k),88,04/30/2019,2nd,1,Royal Challengers Bangalore,M Chinnaswamy Stadium,c P Negi b Y S Chahal,28,13,215.38,2204,27.9,130.57,Sanju samson,RR
93 (k),89,04/05/2019,1st,3,Delhi Capitals,Arun Jaitley Stadium,run out,5,8,62.5,2209,27.61,130.25,Sanju samson,RR
94 (k),90,09/22/2020,1st,3,Chennai Super Kings,Sharjah Cricket Stadium,c D L Chahar b L Ngidi,74,32,231.25,2283,28.19,132.12,Sanju samson,RR
95,91,09/27/2020,2nd,3,Punjab Kings,Sharjah Cricket Stadium,c †K L Rahul b Mohammed Shami,85,42,202.38,2368,28.88,133.79,Sanju samson,RR
96,92,09/30/2020,2nd,3,Kolkata Knight Riders,Dubai International Cricket Stadium,c S P Narine b Shivam Mavi,8,9,88.89,2376,28.63,133.56,Sanju samson,RR
97,93,03/10/2020,1st,3,Royal Challengers Bangalore,Sheikh Zayed Stadium,c & b Y S Chahal,4,3,133.33,2380,28.33,133.56,Sanju samson,RR
98,94,06/10/2020,2nd,4,Mumbai Indians,Sheikh Zayed Stadium,c R G Sharma b T A Boult,0,3,0,2380,28.0,133.33,Sanju samson,RR
99,95,09/10/2020,2nd,4,Delhi Capitals,Sharjah Cricket Stadium,c S O Hetmeyer b M P Stoinis,5,9,55.56,2385,27.73,132.94,Sanju samson,RR
100,96,11/10/2020,2nd,4,Sunrisers Hyderabad,Dubai International Cricket Stadium,c †J M Bairstow b Rashid Khan,26,25,104,2411,27.71,132.55,Sanju samson,RR
101,97,10/14/2020,2nd,4,Delhi Capitals,Dubai International Cricket Stadium,b A R Patel,25,18,138.89,2436,27.68,132.61,Sanju samson,RR
102 (k),98,10/17/2020,1st,3,Royal Challengers Bangalore,Dubai International Cricket Stadium,c C H Morris b Y S Chahal,9,6,150,2445,27.47,132.66,Sanju samson,RR
103 (k),99,10/19/2020,2nd,3,Chennai Super Kings,Sheikh Zayed Stadium,c †M S Dhoni b D L Chahar,0,3,0,2445,27.17,132.45,Sanju samson,RR
104 (k),100,10/22/2020,1st,3,Sunrisers Hyderabad,Dubai International Cricket Stadium,b J O Holder,36,26,138.46,2481,27.26,132.53,Sanju samson,RR
105 (k),101,10/25/2020,2nd,4,Mumbai Indians,Sheikh Zayed Stadium,not out,54*,31,174.19,2535,27.86,133.21,Sanju samson,RR
106 (k),102,10/30/2020,2nd,3,Punjab Kings,Sheikh Zayed Stadium,run out,48,25,192,2583,28.08,133.97,Sanju samson,RR
107 (k),103,01/11/2020,2nd,4,Kolkata Knight Riders,Dubai International Cricket Stadium,c †K D Karthik b Shivam Mavi,1,4,25,2584,27.78,133.75,Sanju samson,RR
108 (c)(k),104,12/04/2021,2nd,3,Punjab Kings,Wankhede Stadium,c D J Hooda b Arshdeep Singh,119,63,188.89,2703,28.76,135.49,Sanju samson,RR
109 (c)(k),105,04/15/2021,2nd,3,Delhi Capitals,Wankhede Stadium,c S Dhawan b K Rabada,4,3,133.33,2707,28.49,135.49,Sanju samson,RR
110 (c)(k),106,04/19/2021,2nd,3,Chennai Super Kings,Wankhede Stadium,c D J J Bravo b S M Curran,1,5,20,2708,28.21,135.2,Sanju samson,RR
111 (c)(k),107,04/22/2021,1st,3,Royal Challengers Bangalore,Wankhede Stadium,c G J Maxwell b Washington Sundar,21,18,116.67,2729,28.13,135.03,Sanju samson,RR
112 (c)(k),108,04/24/2021,2nd,3,Kolkata Knight Riders,Wankhede Stadium,not out,42*,41,102.44,2771,28.57,134.38,Sanju samson,RR
113 (c)(k),109,04/29/2021,1st,3,Mumbai Indians,Arun Jaitley Stadium,b T A Boult,42,27,155.56,2813,28.7,134.66,Sanju samson,RR
114 (c)(k),110,02/05/2021,1st,3,Sunrisers Hyderabad,Arun Jaitley Stadium,c Abdul Samad b V Shankar,48,33,145.45,2861,28.9,134.83,Sanju samson,RR
115 (c)(k),111,09/21/2021,1st,3,Punjab Kings,Dubai International Cricket Stadium,c †K L Rahul b I C Porel,4,5,80,2865,28.65,134.7,Sanju samson,RR
116 (c)(k),112,09/25/2021,2nd,3,Delhi Capitals,Sheikh Zayed Stadium,not out,70*,53,132.08,2935,29.35,134.63,Sanju samson,RR
117 (c)(k),113,09/27/2021,1st,3,Sunrisers Hyderabad,Dubai International Cricket Stadium,c J O Holder b S Kaul,82,57,143.86,3017,29.87,134.87,Sanju samson,RR
118 (c)(k),114,09/29/2021,1st,3,Royal Challengers Bangalore,Dubai International Cricket Stadium,c D Padikkal b Shahbaz Ahmed,19,15,126.67,3036,29.76,134.81,Sanju samson,RR
119 (c)(k),115,02/10/2021,2nd,3,Chennai Super Kings,Sheikh Zayed Stadium,c R D Gaikwad b S N Thakur,28,24,116.67,3064,29.75,134.62,Sanju samson,RR
120 (c)(k),116,05/10/2021,1st,3,Mumbai Indians,Sharjah Cricket Stadium,c J Yadav b J D S Neesham,3,6,50,3067,29.49,134.4,Sanju samson,RR
121 (c)(k),117,07/10/2021,2nd,3,Kolkata Knight Riders,Sharjah Cricket Stadium,c E J G Morgan b Shivam Mavi,1,4,25,3068,29.22,134.21,Sanju samson,RR
122 (c)(k),118,03/29/2022,1st,3,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,c Abdul Samad b B Kumar,55,27,203.7,3123,29.46,135.02,Sanju samson,RR
123 (c)(k),119,02/04/2022,1st,4,Mumbai Indians,Dr DY Patil Sports Academy,c Tilak Varma b K A Pollard,30,21,142.86,3153,29.47,135.09,Sanju samson,RR
124 (c)(k),120,05/04/2022,1st,4,Royal Challengers Bangalore,Wankhede Stadium,c & b P W H de Silva,8,8,100,3161,29.27,134.97,Sanju samson,RR
125 (c)(k),121,10/04/2022,1st,3,Lucknow Super Giants,Wankhede Stadium,lbw b J O Holder,13,12,108.33,3174,29.12,134.83,Sanju samson,RR
126 (c)(k),122,04/14/2022,2nd,4,Gujarat Titans,Dr DY Patil Sports Academy,run out,11,11,100,3185,28.95,134.67,Sanju samson,RR
127 (c)(k),123,04/18/2022,1st,3,Kolkata Knight Riders,Brabourne Stadium,c Shivam Mavi b A D Russell,38,19,200,3223,29.04,135.19,Sanju samson,RR
128 (c)(k),124,04/22/2022,1st,3,Delhi Capitals,Wankhede Stadium,not out,46*,19,242.11,3269,29.45,136.04,Sanju samson,RR
129 (c)(k),125,04/26/2022,1st,4,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,b P W H de Silva,27,21,128.57,3296,29.43,135.97,Sanju samson,RR
130 (c)(k),126,04/30/2022,1st,3,Mumbai Indians,Dr DY Patil Sports Academy,c T H David b Kumar Kartikeya,16,7,228.57,3312,29.31,136.24,Sanju samson,RR
131 (c)(k),127,02/05/2022,1st,3,Kolkata Knight Riders,Wankhede Stadium,c R K Singh b Shivam Mavi,54,49,110.2,3366,29.53,135.73,Sanju samson,RR
132 (c)(k),128,07/05/2022,2nd,3,Punjab Kings,Wankhede Stadium,c S Dhawan b R Dhawan,23,12,191.67,3389,29.47,136,Sanju samson,RR
133 (c)(k),129,11/05/2022,1st,5,Delhi Capitals,Dr DY Patil Sports Academy,c S N Thakur b A Nortje,6,4,150,3395,29.27,136.02,Sanju samson,RR
134 (c)(k),130,05/15/2022,1st,3,Lucknow Super Giants,Brabourne Stadium,c D J Hooda b J O Holder,32,24,133.33,3427,29.29,135.99,Sanju samson,RR
135 (c)(k),131,05/20/2022,2nd,3,Chennai Super Kings,Brabourne Stadium,c & b M J Santner,15,20,75,3442,29.17,135.51,Sanju samson,RR
136 (c)(k),132,05/24/2022,1st,3,Gujarat Titans,Eden Gardens,c A S Joseph b R S Kishore,47,26,180.77,3489,29.32,135.97,Sanju samson,RR
137 (c)(k),133,05/27/2022,2nd,3,Royal Challengers Bangalore,Narendra Modi Stadium,st K D Karthik b P W H de Silva,23,21,109.52,3512,29.27,135.76,Sanju samson,RR
138 (c)(k),134,05/29/2022,1st,3,Gujarat Titans,Narendra Modi Stadium,c R S Kishore b H H Pandya,14,11,127.27,3526,29.14,135.72,Sanju samson,RR
139 (c)(k),135,02/04/2023,1st,3,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c Abhishek Sharma b T Natarajan,55,32,171.88,3581,29.35,136.16,Sanju samson,RR
140 (c)(k),136,05/04/2023,2nd,4,Punjab Kings,Barsapara Cricket Stadium,c sub b N Ellis,42,25,168,3623,29.46,136.46,Sanju samson,RR
141 (c)(k),137,08/04/2023,1st,3,Delhi Capitals,Barsapara Cricket Stadium,c A Nortje b Kuldeep Yadav,0,4,0,3623,29.22,136.25,Sanju samson,RR
142 (c)(k),138,12/04/2023,1st,4,Chennai Super Kings,MA Chidambaram Stadium,b R A Jadeja,0,2,0,3623,28.98,136.15,Sanju samson,RR
143 (c)(k),139,04/16/2023,2nd,4,Gujarat Titans,Narendra Modi Stadium,c D A Miller b Noor Ahmad,60,32,187.5,3683,29.23,136.76,Sanju samson,RR
144 (c)(k),140,04/19/2023,2nd,3,Lucknow Super Giants,Sawai Mansingh Stadium,run out,2,4,50,3685,29.02,136.63,Sanju samson,RR
145 (c)(k),141,04/23/2023,2nd,4,Royal Challengers Bangalore,M Chinnaswamy Stadium,c Shahbaz Ahmed b H V Patel,22,15,146.67,3707,28.96,136.69,Sanju samson,RR
146 (c)(k),142,04/27/2023,1st,3,Chennai Super Kings,Sawai Mansingh Stadium,c R D Gaikwad b T U Deshpande,17,17,100,3724,28.87,136.46,Sanju samson,RR
147 (c)(k),143,04/30/2023,1st,3,Mumbai Indians,Wankhede Stadium,c Tilak Varma b M A Khan,14,10,140,3738,28.75,136.47,Sanju samson,RR
148 (c)(k),144,05/05/2023,1st,3,Gujarat Titans,Sawai Mansingh Stadium,c H H Pandya b J B Little,30,20,150,3768,28.76,136.57,Sanju samson,RR
149 (c)(k),145,07/05/2023,1st,3,Sunrisers Hyderabad,Sawai Mansingh Stadium,not out,66*,38,173.68,3834,29.27,137.08,Sanju samson,RR
150 (c)(k),146,11/05/2023,2nd,3,Kolkata Knight Riders,Eden Gardens,not out,48*,29,165.52,3882,29.63,137.37,Sanju samson,RR
151 (c)(k),147,05/14/2023,2nd,3,Royal Challengers Bangalore,Sawai Mansingh Stadium,c Anuj Rawat b W D Parnell,4,5,80,3886,29.44,137.27,Sanju samson,RR
152 (c)(k),148,05/19/2023,2nd,4,Punjab Kings,Himachal Pradesh Cricket Association Stadium,c sub b R D Chahar,2,3,66.67,3888,29.23,137.19,Sanju samson,RR
1 (k),1,09/04/2016,1st,4,Rising Pune Supergiant,Wankhede Stadium,c R Ashwin b M R Marsh,0,2,0,0,0.0,0,Jos buttler,RR
2,2,04/13/2016,2nd,5,Kolkata Knight Riders,Eden Gardens,c S A Yadav b A D Russell,41,22,186.36,41,20.5,170.83,Jos buttler,RR
3,3,04/16/2016,1st,4,Gujarat Lions,Wankhede Stadium,st K D Karthik b S B Jakati,16,21,76.19,57,19.0,126.67,Jos buttler,RR
4,4,04/18/2016,1st,5,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c †N V Ojha b B B Sran,11,11,100,68,17.0,121.43,Jos buttler,RR
5,5,04/20/2016,2nd,4,Royal Challengers Bangalore,Barabati Stadium,c S R Watson b Iqbal Abdulla,28,14,200,96,19.2,137.14,Jos buttler,RR
6,6,04/23/2016,2nd,5,Delhi Capitals,Arun Jaitley Stadium,lbw b A Mishra,2,6,33.33,98,16.33,128.95,Jos buttler,RR
7,7,04/25/2016,1st,4,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,b M M Sharma,24,13,184.62,122,17.43,137.08,Jos buttler,RR
8,8,04/28/2016,2nd,5,Kolkata Knight Riders,Wankhede Stadium,c C A Lynn b S P Narine,15,15,100,137,17.13,131.73,Jos buttler,RR
9,9,01/05/2016,2nd,4,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,not out,27*,17,158.82,164,20.5,135.54,Jos buttler,RR
10,10,08/05/2016,2nd,5,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,c †N V Ojha b A Nehra,2,2,100,166,18.44,134.96,Jos buttler,RR
